file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\BehaviorTreeTestBase.java,com.badlogic.gdx.ai.tests.btree.BehaviorTreeTestBase,class,5,13,8,5,10,1,7,5,6,0.59259266,0.0,0.0,9,0,8,0,1,0,9,1,0,0,3,0,0,3,0,0,0,0,0,36,3,1,0,0,0,2,0,6,0,4,1,0,0,0,22,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\scene2d\tests\Scene2dSeekTest.java,com.badlogic.gdx.ai.tests.steer.scene2d.tests.Scene2dSeekTest,class,8,9,1,8,4,3,0,13,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,34,0,0,0,0,0,1,7,6,2,4,0,0,0,0,38,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\StandaloneFileSystem.java,com.badlogic.gdx.ai.StandaloneFileSystem$DesktopFileHandle,innerclass,4,4,0,4,12,2,0,6,15,0.8333333,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,2,2,0,0,0,2,0,1,31,7,0,6,0,0,5,2,5,2,3,2,0,0,0,20,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\pfa\tests\tiled\TiledRaycastCollisionDetector.java,com.badlogic.gdx.ai.tests.pfa.tests.tiled.TiledRaycastCollisionDetector,class,7,11,4,7,11,1,0,2,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,3,48,2,1,1,0,1,0,3,28,5,14,2,0,0,0,49,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\bullet\tests\BulletJumpTest.java,com.badlogic.gdx.ai.tests.steer.bullet.tests.BulletJumpTest,class,33,36,3,33,12,3,0,63,1,0.7362638,0.0,0.0,7,1,5,2,0,0,5,0,0,0,13,3,0,2,0,11,3,0,8,265,1,2,1,0,6,23,84,45,39,40,3,9,0,0,137,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\bullet\BulletSteeringUtils.java,com.badlogic.gdx.ai.tests.steer.bullet.BulletSteeringUtils,class,1,4,3,1,3,1,0,3,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,13,2,0,0,0,0,0,1,3,0,0,0,0,0,0,10,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\fma\FormationMember.java,com.badlogic.gdx.ai.fma.FormationMember,interface,3,9,6,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\pfa\tests\HierarchicalTiledAStarTest.java,com.badlogic.gdx.ai.tests.pfa.tests.HierarchicalTiledAStarTest,class,22,28,6,22,42,3,0,33,5,0.67857134,0.0,0.0,7,0,5,2,0,0,5,0,0,0,20,2,0,0,0,20,2,0,0,271,2,11,9,0,5,11,45,79,34,62,7,3,1,0,140,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\fsm\ElsaState.java,com.badlogic.gdx.ai.tests.fsm.ElsaState$Anonymous4,anonymous,6,6,0,6,5,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,1,0,0,2,1,0,1,0,1,0,0,0,38,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\fsm\ElsaState.java,com.badlogic.gdx.ai.tests.fsm.ElsaState$Anonymous3,anonymous,8,8,0,8,6,1,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,26,2,0,1,0,0,5,2,0,1,0,1,0,0,0,32,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\pfa\PathFinderTestBase.java,com.badlogic.gdx.ai.tests.pfa.PathFinderTestBase,class,6,11,5,6,10,1,4,17,27,0.75,0.0,0.0,10,0,8,0,2,0,10,3,0,0,4,0,1,0,3,0,0,0,0,44,3,0,0,0,0,2,13,7,4,6,0,0,0,0,32,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\steer\behaviors\Jump.java,com.badlogic.gdx.ai.steer.behaviors.Jump$JumpDescriptor,innerclass,3,3,0,3,2,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,3,0,0,0,0,42,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\steer\GroupBehavior.java,com.badlogic.gdx.ai.steer.GroupBehavior,class,5,9,4,5,3,2,0,0,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,13,1,0,0,0,0,0,0,2,0,1,0,0,0,0,58,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\steer\limiters\LinearAccelerationLimiter.java,com.badlogic.gdx.ai.steer.limiters.LinearAccelerationLimiter,class,1,5,4,1,3,2,0,0,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,1,0,0,0,0,28,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\fsm\ElsaState.java,com.badlogic.gdx.ai.tests.fsm.ElsaState$Anonymous2,anonymous,3,3,0,3,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\StateMachineTest.java,com.badlogic.gdx.ai.tests.StateMachineTest,class,9,10,1,9,4,2,0,9,0,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,3,25,0,0,0,0,0,0,3,6,0,4,1,0,0,0,27,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\btree\leaf\Wait.java,com.badlogic.gdx.ai.btree.leaf.Wait,class,11,13,2,11,8,3,0,4,0,0.47619048,0.0,0.0,7,0,6,0,1,0,7,0,0,0,3,0,1,2,0,0,0,0,2,31,2,0,0,0,1,0,2,7,1,3,0,0,0,0,82,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\fsm\ElsaState.java,com.badlogic.gdx.ai.tests.fsm.ElsaState$Anonymous1,anonymous,2,2,0,2,4,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,5,1,0,1,1,0,0,0,6,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\GdxFileSystem.java,com.badlogic.gdx.ai.GdxFileSystem,class,9,10,1,9,11,1,0,4,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,31,10,0,0,0,0,0,0,0,0,0,1,0,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\tests\com\badlogic\gdx\ai\pfa\indexed\IndexedAStarPathFinderTest.java,com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\tests\com\badlogic\gdx\ai\pfa\indexed\IndexedAStarPathFinderTest.java,com.badlogic.gdx.ai.pfa.indexed.IndexedAStarPathFinderTest$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\KryoUtils.java,com.badlogic.gdx.ai.tests.btree.KryoUtils,class,24,26,2,24,5,2,0,8,0,0.25,0.0,0.0,4,3,3,1,0,0,4,0,0,0,2,2,0,2,0,0,2,0,0,167,2,0,0,0,0,0,0,3,0,3,0,14,1,0,22,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\MessageTests.java,com.badlogic.gdx.ai.tests.MessageTests,class,20,25,5,20,18,2,0,50,0,0.5625,0.0,0.0,8,1,5,2,1,0,6,0,0,0,10,1,5,1,0,4,1,0,2,110,2,1,5,0,4,5,18,22,6,19,2,1,0,0,71,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\btree\branch\Parallel.java,com.badlogic.gdx.ai.btree.branch.Parallel$Policy$Anonymous4,anonymous,1,1,0,1,4,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,1,0,1,0,0,0,0,0,7,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\btree\branch\Parallel.java,com.badlogic.gdx.ai.btree.branch.Parallel$Policy$Anonymous3,anonymous,1,1,0,1,8,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,2,0,0,0,2,0,2,0,1,0,0,0,7,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\btree\utils\DistributionAdapters.java,com.badlogic.gdx.ai.btree.utils.DistributionAdapters$DistributionFormatException,innerclass,0,0,0,0,4,4,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\steer\behaviors\BlendedSteering.java,com.badlogic.gdx.ai.steer.behaviors.BlendedSteering$BehaviorAndWeight,innerclass,3,3,0,3,5,1,0,0,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,0,2,0,0,0,0,20,2,0,0,0,0,0,0,4,0,2,0,0,0,0,7,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\dog\CareTask.java,com.badlogic.gdx.ai.tests.btree.dog.CareTask,class,6,8,2,6,4,3,0,4,0,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,1,20,3,0,0,0,0,1,2,5,0,3,1,0,0,0,21,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\fsm\BobState.java,com.badlogic.gdx.ai.tests.fsm.BobState,enum,5,11,6,5,2,1,0,4,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,110,1,0,0,0,0,0,0,0,0,0,0,5,0,0,33,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\scene2d\tests\Scene2dFlockingTest.java,com.badlogic.gdx.ai.tests.steer.scene2d.tests.Scene2dFlockingTest,class,21,22,1,21,7,3,0,37,0,0.5714286,0.0,0.0,4,0,4,0,0,0,4,0,0,0,7,0,0,0,0,7,0,0,0,203,0,1,1,0,0,18,69,38,18,36,2,10,0,0,80,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\pfa\tests\InterruptibleFlatTiledAStarTest.java,com.badlogic.gdx.ai.tests.pfa.tests.InterruptibleFlatTiledAStarTest$TiledAStarInputProcessor,innerclass,4,4,0,4,13,2,0,9,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,47,3,0,1,0,2,0,1,8,4,4,1,0,0,0,36,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\btree\utils\BehaviorTreeParser.java,com.badlogic.gdx.ai.btree.utils.BehaviorTreeParser$DefaultBehaviorTreeReader$AttrInfo,innerclass,1,1,0,1,4,1,0,3,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,3,0,0,0,0,3,0,0,0,13,0,0,2,0,0,0,1,3,0,3,0,0,0,0,10,10,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\box2d\tests\Box2dSeekTest.java,com.badlogic.gdx.ai.tests.steer.box2d.tests.Box2dSeekTest,class,10,11,1,10,5,3,0,19,0,0.4666667,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,1,0,2,0,0,0,42,0,0,0,0,0,1,8,7,0,5,0,0,0,0,45,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\pfa\tests\InterruptibleFlatTiledAStarTest.java,com.badlogic.gdx.ai.tests.pfa.tests.InterruptibleFlatTiledAStarTest$Anonymous4,anonymous,5,5,0,5,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,1,0,0,0,0,13,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\pfa\tests\InterruptibleFlatTiledAStarTest.java,com.badlogic.gdx.ai.tests.pfa.tests.InterruptibleFlatTiledAStarTest$Anonymous5,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,8,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\pfa\tests\InterruptibleFlatTiledAStarTest.java,com.badlogic.gdx.ai.tests.pfa.tests.InterruptibleFlatTiledAStarTest$Anonymous2,anonymous,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,1,0,0,0,0,12,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\pfa\tests\InterruptibleFlatTiledAStarTest.java,com.badlogic.gdx.ai.tests.pfa.tests.InterruptibleFlatTiledAStarTest$Anonymous3,anonymous,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,1,0,0,0,0,11,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\pfa\tests\InterruptibleFlatTiledAStarTest.java,com.badlogic.gdx.ai.tests.pfa.tests.InterruptibleFlatTiledAStarTest$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\btree\Decorator.java,com.badlogic.gdx.ai.btree.Decorator,class,4,12,8,4,18,2,0,10,13,0.36363637,0.0,0.0,11,0,9,0,2,0,11,0,0,0,1,0,0,0,1,0,0,0,0,51,4,0,6,0,0,3,6,5,1,2,2,0,0,0,77,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\msg\MessageDispatcher.java,com.badlogic.gdx.ai.msg.MessageDispatcher$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\sched\SchedulerBase.java,com.badlogic.gdx.ai.sched.SchedulerBase,class,5,7,2,5,9,1,0,2,0,0.125,0.0,0.0,2,0,1,0,1,0,2,0,0,0,4,0,0,0,4,0,0,0,0,44,1,4,1,0,1,0,7,17,4,13,3,0,1,0,71,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\pfa\indexed\IndexedHierarchicalGraph.java,com.badlogic.gdx.ai.pfa.indexed.IndexedHierarchicalGraph,class,3,9,6,3,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,1,0,0,2,0,0,0,2,0,0,0,0,15,1,0,0,0,0,0,1,3,0,2,0,0,0,0,30,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\tests\ProgrammaticallyCreatedTreeTest.java,com.badlogic.gdx.ai.tests.btree.tests.ProgrammaticallyCreatedTreeTest,class,22,24,2,22,5,2,0,9,4,0.5,0.0,0.0,4,1,2,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,43,2,0,0,0,1,8,4,17,1,13,0,0,0,0,54,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\box2d\tests\Box2dCollisionAvoidanceTest.java,com.badlogic.gdx.ai.tests.steer.box2d.tests.Box2dCollisionAvoidanceTest$Anonymous3,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,2,1,2,1,2,1,0,0,0,8,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\box2d\tests\Box2dCollisionAvoidanceTest.java,com.badlogic.gdx.ai.tests.steer.box2d.tests.Box2dCollisionAvoidanceTest$Anonymous4,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,1,0,0,0,0,9,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\box2d\tests\Box2dCollisionAvoidanceTest.java,com.badlogic.gdx.ai.tests.steer.box2d.tests.Box2dCollisionAvoidanceTest$Anonymous1,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,2,1,2,1,2,1,0,0,0,8,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\box2d\tests\Box2dCollisionAvoidanceTest.java,com.badlogic.gdx.ai.tests.steer.box2d.tests.Box2dCollisionAvoidanceTest$Anonymous2,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,2,1,2,1,2,1,0,0,0,9,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\msg\tests\MessageTimerTest.java,com.badlogic.gdx.ai.tests.msg.tests.MessageTimerTest$Anonymous3,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\msg\tests\MessageTimerTest.java,com.badlogic.gdx.ai.tests.msg.tests.MessageTimerTest$Anonymous4,anonymous,3,3,0,3,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,2,0,1,0,1,0,0,0,7,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\msg\tests\MessageTimerTest.java,com.badlogic.gdx.ai.tests.msg.tests.MessageTimerTest$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\msg\tests\MessageTimerTest.java,com.badlogic.gdx.ai.tests.msg.tests.MessageTimerTest$Anonymous2,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\utils\random\UniformDoubleDistribution.java,com.badlogic.gdx.ai.utils.random.UniformDoubleDistribution,class,1,5,4,1,5,2,0,1,0,0.3,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,20,3,0,0,0,1,0,1,2,3,2,0,0,0,0,10,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\btree\branch\Parallel.java,com.badlogic.gdx.ai.btree.branch.Parallel$Orchestrator,enum,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\utils\scene2d\IntValueLabel.java,com.badlogic.gdx.ai.tests.utils.scene2d.IntValueLabel,class,5,10,5,5,8,2,1,11,19,0.71428573,0.0,0.0,7,0,7,0,0,0,7,1,0,0,2,0,0,0,0,2,0,0,0,33,0,0,1,0,0,0,0,5,1,4,1,0,0,0,43,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\tests\ResumeVsJoinTest.java,com.badlogic.gdx.ai.tests.btree.tests.ResumeVsJoinTest$TestScreen$PursueTask,innerclass,6,6,0,6,6,3,0,6,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,1,0,3,0,0,3,0,2,3,0,0,0,15,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\btree\decorator\AlwaysSucceed.java,com.badlogic.gdx.ai.btree.decorator.AlwaysSucceed,class,3,4,1,3,3,3,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\btree\utils\BehaviorTreeLoader.java,com.badlogic.gdx.ai.btree.utils.BehaviorTreeLoader$BehaviorTreeParameter,innerclass,2,2,0,2,3,2,0,0,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,2,0,0,14,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\scene2d\Scene2dSteeringTest.java,com.badlogic.gdx.ai.tests.steer.scene2d.Scene2dSteeringTest$Anonymous1,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,2,0,1,1,0,0,0,6,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\Logger.java,com.badlogic.gdx.ai.Logger,interface,0,14,14,0,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\scene2d\Scene2dSteeringTest.java,com.badlogic.gdx.ai.tests.steer.scene2d.Scene2dSteeringTest$Anonymous2,anonymous,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
